version_id,timestamp,model,loss_function,optimizer,learning_rate,batch_size,epochs_run,patience,train_time_sec,test_inference_time_sec,train_size,val_size,test_size,image_size,threshold,accuracy,precision,recall,f1_score,true_negatives,false_positives,false_negatives,true_positives,model_file,confusion_matrix_path,model_parameters,model_file_size_mb
ConvAutoencoder_2025-04-08_14-29-54,2025-04-08_14-29-54,ConvAutoencoder,MSELoss,Adam,0.001,32,30,3,717.38,11.17,14000,13000,13000,128x128,0.000185,0.8433,0.992,0.8028,0.8874,2935,65,1972,8028,models/ConvAutoencoder_2025-04-08_14-29-54.pth,results/plots/confusion_matrix_ConvAutoencoder_2025-04-08_14-29-54.png,46529,0.18
EfficientNet_Encode_2025-04-08_16-45-35,2025-04-08_16-45-35,EfficientNet_Encode,MSELoss,Adam,0.001,32,2,3,99.52,16.3,14000,13000,13000,128x128,0.005068,0.9178,0.9987,0.8944,0.9437,2988,12,1056,8944,models/EfficientNet_Encode_2025-04-08_16-45-35.pth,results/plots/confusion_matrix_EfficientNet_Encode_2025-04-08_16-45-35.png,5579773,21.58
EfficientNet_Encode_2025-04-08_18-21-09,2025-04-08_18-21-09,EfficientNet_Encode,MSELoss,Adam,0.001,32,17,3,841.59,16.1,14000,13000,13000,128x128,0.004014,0.8777,0.9983,0.8424,0.9138,2986,14,1576,8424,models/EfficientNet_Encode_2025-04-08_18-21-09.pth,results/plots/confusion_matrix_EfficientNet_Encode_2025-04-08_18-21-09.png,5579773,21.58
PDN_2025-04-08_19-02-23,2025-04-08_19-02-23,PDN,MSELoss,Adam,0.001,32,2,3,1022.8,151.14,14000,13000,13000,224x224,0.053532,0.8922,0.9939,0.8652,0.9251,2947,53,1348,8652,models/PDN_2025-04-08_19-02-23.pth,results/plots/confusion_matrix_PDN_2025-04-08_19-02-23.png,540608,2.07
PDN_2025-04-08_21-53-18,2025-04-08_21-53-18,PDN,MSELoss,Adam,0.001,32,9,3,4609.2,150.8,14000,13000,13000,224x224,0.047113,0.8929,0.9939,0.8661,0.9256,2947,53,1339,8661,models/PDN_2025-04-08_21-53-18.pth,results/plots/confusion_matrix_PDN_2025-04-08_21-53-18.png,540608,2.07
ResNet_2025-04-29_01-07-01,2025-04-29_01-07-01,ResNet,CrossEntropyLoss,Adam,0.0001,32,1,0,84.74,30.87,14000,13000,13000,224x224,0.0,0.2308,0.0,0.0,0.0,3000,0,10000,0,models/ResNet_2025-04-29_01-07-01.pth,results/plots/confusion_matrix_ResNet_2025-04-29_01-07-01.png,11177538,42.72
ResNet_2025-05-02_02-36-51,2025-05-02_02-36-51,ResNet,CrossEntropyLoss,Adam,0.0001,32,1,0,94.92,30.09,21600,5400,13000,224x224,0.0,0.9989,0.9998,0.9988,0.9993,2998,2,12,9988,models/ResNet_2025-05-02_02-36-51.pth,results/plots/confusion_matrix_ResNet_2025-05-02_02-36-51.png,11177538,42.72
ResNet_2025-05-02_03-28-49,2025-05-02_03-28-49,ResNet,CrossEntropyLoss,Adam,0.0001,32,30,0,2804.12,29.89,21600,5400,13000,224x224,0.0,0.9992,0.9997,0.9993,0.9995,2997,3,7,9993,models/ResNet_2025-05-02_03-28-49.pth,results/plots/confusion_matrix_ResNet_2025-05-02_03-28-49.png,11177538,42.72
CustomCNN_2025-05-06_22-09-56,2025-05-06_22-09-56,CustomCNN,BCELoss,RMSprop,0.0001,32,1,0,60.92,26.15,21600,5400,13000,224x224,0.0,0.9604,0.9985,0.9499,0.9736,2986,14,501,9499,models/CustomCNN_2025-05-06_22-09-56.pth,results/plots/confusion_matrix_CustomCNN_2025-05-06_22-09-56.png,110337,0.43
CustomCNN_2025-05-06_22-45-51,2025-05-06_22-45-51,CustomCNN,BCELoss,RMSprop,0.0001,32,30,0,1800.93,23.31,21600,5400,13000,224x224,0.0,0.9952,0.9995,0.9943,0.9969,2995,5,57,9943,models/CustomCNN_2025-05-06_22-45-51.pth,results/plots/confusion_matrix_CustomCNN_2025-05-06_22-45-51.png,110337,0.43
AugConvAutoencoder_2025-05-14_01-24-52,2025-05-14_01-24-52,AugConvAutoencoder,MSELoss,Adam,0.001,32,2,3,141.94,11.22,56000,13000,13000,128x128,0.00069,0.8344,0.9884,0.794,0.8806,2907,93,2060,7940,models/AugConvAutoencoder_2025-05-14_01-24-52.pth,results/plots/confusion_matrix_AugConvAutoencoder_2025-05-14_01-24-52.png,46529,0.18
AugConvAutoencoder_2025-05-14_01-36-38,2025-05-14_01-36-38,AugConvAutoencoder,MSELoss,Adam,0.001,32,2,3,146.51,11.26,56000,13000,13000,128x128,0.000558,0.8452,0.9889,0.8078,0.8892,2909,91,1922,8078,models/AugConvAutoencoder_2025-05-14_01-36-38.pth,results/plots/confusion_matrix_AugConvAutoencoder_2025-05-14_01-36-38.png,46529,0.18
AugEfficientNet_Encode_2025-05-14_03-09-39,2025-05-14_03-09-39,AugEfficientNet_Encode,MSELoss,Adam,0.001,32,1,3,176.25,16.49,56000,13000,13000,128x128,0.002681,0.9585,0.9893,0.9563,0.9725,2897,103,437,9563,models/AugEfficientNet_Encode_2025-05-14_03-09-39.pth,results/plots/confusion_matrix_AugEfficientNet_Encode_2025-05-14_03-09-39.png,5579773,21.59
AugEfficientNet_Encode_2025-05-14_04-35-02,2025-05-14_04-35-02,AugEfficientNet_Encode,MSELoss,Adam,0.001,32,30,3,4940.05,16.18,56000,13000,13000,128x128,0.00131,0.8459,0.9838,0.8131,0.8903,2866,134,1869,8131,models/AugEfficientNet_Encode_2025-05-14_04-35-02.pth,results/plots/confusion_matrix_AugEfficientNet_Encode_2025-05-14_04-35-02.png,5579773,21.59
AugConvAutoencoder_2025-05-14_15-04-36,2025-05-14_15-04-36,AugConvAutoencoder,MSELoss,Adam,0.001,32,1,3,85.34,13.71,56000,13000,13000,128x128,0.000908,0.8385,0.9883,0.7995,0.8839,2905,95,2005,7995,models/AugConvAutoencoder_2025-05-14_15-04-36.pth,results/plots/confusion_matrix_AugConvAutoencoder_2025-05-14_15-04-36.png,46529,0.18
AugConvAutoencoder_2025-05-14_15-36-18,2025-05-14_15-36-18,AugConvAutoencoder,MSELoss,Adam,0.001,32,21,3,1476.76,11.18,56000,13000,13000,128x128,9.2e-05,0.9197,0.9913,0.9035,0.9454,2921,79,965,9035,models/AugConvAutoencoder_2025-05-14_15-36-18.pth,results/plots/confusion_matrix_AugConvAutoencoder_2025-05-14_15-36-18.png,46529,0.18
AugPDN_2025-05-22_00-34-08,2025-05-22_00-34-08,AugPDN,MSELoss,Adam,0.001,32,1,3,2593.17,154.48,56000,13000,13000,224x224,0.060143,0.6939,0.9954,0.6049,0.7525,2972,28,3951,6049,models/AugPDN_2025-05-22_00-34-08.pth,results/plots/confusion_matrix_AugPDN_2025-05-22_00-34-08.png,540608,2.07
AugPDN_2025-05-22_05-13-26,2025-05-22_05-13-26,AugPDN,MSELoss,Adam,0.001,32,5,3,10297.81,151.44,56000,13000,13000,224x224,0.063481,0.7276,0.9965,0.6482,0.7855,2977,23,3518,6482,models/AugPDN_2025-05-22_05-13-26.pth,results/plots/confusion_matrix_AugPDN_2025-05-22_05-13-26.png,540608,2.07
